,process_number,decision_type,document_href,judgement_date,decision_text,judging_body,judge,district,justice_secret,publication_date
0,0000248-42.2023.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd9256359a0829cec29a4a1a50b6147d9c2b063b0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
1.ª CÂMARA CRIMINAL",1ª Câmara Criminal,Lidia Matiko Maejima,Maringá,False,20230110
1,0064645-47.2022.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd925633f8539e1b3e07fa3c24ca277cc503138b0c8c3cf6544d248,20230110,"1. Trata-se de agravo de instrumento, com pedido de concessão de efeito suspensivo, interposto por JOSIMARA PERPETUO DOS SANTOS, nos autos de Ação de Exibição de Documentos nº. 0007953-96.2020.8.16.0194, ajuizada em face de ITAU UNIBANCO S.A. contra a decisão proferida pelo Juízo da 24ª Vara Cível de Curitiba, que indeferiu a concessão do benefício da gratuidade da justiça (mov. 27.1 – Projudi 1º grau).",14ª Câmara Cível,Francisco Eduardo Gonzaga de Oliveira,Curitiba,False,20230110
2,0000169-63.2023.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd92563a8766856fa270a88a30e793f58e62586b0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
4ª CÂMARA CRIMINAL",4ª Câmara Criminal,Rui Portugal Bacellar Filho,Cândido de Abreu,False,20230110
3,0005713-95.2016.8.16.00263,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd92563b0fef4dc745dcec4a30e793f58e62586b0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
1ª VICE-PRESIDÊNCIA",1ª Vice-Presidência,Luiz Osorio Moraes Panza,Campo Largo,False,20230110
4,0057273-47.2022.8.16.00001,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd925630bb2d0f13a174e44a30e793f58e62586b0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
1ª VICE-PRESIDÊNCIA
Autos nº. 0057273-47.2022.8.16.0000/1
Recurso: 0057273-47.2022.8.16.0000 Pet 1",1ª Vice-Presidência,Luiz Osorio Moraes Panza,Marechal Cândido Rondon,False,20230110
5,0003230-70.2022.8.16.00301,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd92563f265e875c56dbf04a30e793f58e62586b0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
1ª VICE-PRESIDÊNCIA",1ª Vice-Presidência,Luiz Osorio Moraes Panza,Foz do Iguaçu,False,20230110
6,0002035-35.2015.8.16.0179,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd92563a4941aaf164a9c6da50b6147d9c2b063b0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
APELAÇÃO CÍVEL Nº 0002035-35.2015.8.16.0179, DO FORO
CENTRAL DA COMARCA DA REGIÃO METROPOLITANA DE
CURITIBA – SECRETARIA UNIFICADA DAS VARAS DA
FAZENDA PÚBLICA – 5ª VARA.",3ª Câmara Cível,Marcos Sergio Galliano Daros,Curitiba,False,20230110
7,0045354-39.2014.8.16.00011,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd925639f19bf5fb0edb48b1d8c17947faf61b9b0c8c3cf6544d248,20230110,PODER JUDCIÁRIO,12ª Câmara Cível,Carlos Mauricio Ferreira,Curitiba,False,20230110
8,0029794-91.2013.8.16.00012,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd925634a03a2c24507c7645bce1bf63ddea135b0c8c3cf6544d248,20230110,"Trata-se de agravo ao Superior Tribunal de Justiça, interposto na forma do artigo 1.042 do Código de Processo Civil, em face da decisão que negou seguimento ao recurso especial com base, exclusivamente, no disposto no artigo 1.030, inciso I, alínea “b”, do Código de Processo Civil (mov. 19.1 Pet 1). Verifica-se ser inviável o conhecimento do agravo interposto, uma vez que a decisão objurgada aplicou a sistemática dos recursos repetitivos, conforme artigo 1.030, inciso I, alínea “b”, do Código de Processo Civil, revelando-se incabível a interposição de agravo ao Superior Tribunal de Justiça. Com efeito, assim dispõe o artigo 1.042 caput do Código de Processo Civil:",1ª Vice-Presidência,Luiz Osorio Moraes Panza,Curitiba,False,20230110
9,0077657-31.2022.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd9256350360b2ac4931aea154d402a845489d1b0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
9ª CÂMARA CÍVEL",9ª Câmara Cível,Luis Sergio Swiech,Curitiba,False,20230110
10,0022168-09.2022.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd925639269a77371d31c318919ad108f3a0e82b0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
6ª SEÇÃO CÍVEL",6ª Seção Cível,Marco Antonio Massaneiro,Toledo,False,20230110
11,0068650-15.2022.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd9256320a7a35fb94c59f3c24ca277cc503138b0c8c3cf6544d248,20230110,"PODER JUDICIÁRIO DO ESTADO DO PARANÁ
7ª SEÇÃO CÍVEL - PROJUDI
Rua Mauá, 920 - 6º andar - Alto da Glória - Curitiba/PR - CEP: 80.030-901",7ª Seção Cível,Vitor Roberto Silva,Irati,False,20230110
12,0043526-30.2022.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd92563b361bbc77dede6aec24ca277cc503138b0c8c3cf6544d248,20230110,AGRAVO DE INSTRUMENTO – AÇÃO DE INDENIZAÇÃO POR DANOS MATERIAIS E DANOS MORAIS – DECISÃO QUE INDEFERIU A ASSISTÊNCIA JUDICIÁRIA AOS AUTORES – POSTERIOR RETRATAÇÃO PELO JUÍZO DE ORIGEM – SUPERVENIENTE PERDA DE OBJETO DO PRESENTE RECURSO – JULGAMENTO PREJUDICADO. Agravo de Instrumento prejudicado,10ª Câmara Cível,Elizabeth Maria de Franca Rocha,São José dos Pinhais,False,20230110
13,0025700-03.2009.8.16.0014,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd92563ff2e7477d4c298b7c24ca277cc503138b0c8c3cf6544d248,20230110,"PODER JUDICIÁRIO DO ESTADO DO PARANÁ
13ª CÂMARA CÍVEL - PROJUDI
RUA MAUÁ, 920 - ALTO DA GLORIA - Curitiba/PR - CEP: 80.030-901 - E-mail: 13CC@tjpr.jus.br
Autos n.º 0025700-03.2009.8.16.0014
Recurso: 0025700-03.2009.8.16.0014
Classe Processual: Apelação Cível
Assunto Principal: Contratos Bancários
Apelante(s): BANCO BRADESCO S/A
Apelado(s): FLAVIA CHUEIRI MICHELATO
CIROKO TUTUY OKU
antonio wilson botichelli
Vistos, etc.
Juntada aos autos informação de acordo em relação aos autores – Antonio Wilson Botichelli (mov. 127.1
- TJPR), Ciroko Tutuy Oku (mov. 128.1 - TJPR) e Flavia Chueiri Michelato (mov. 129.1 - TJPR).
Assim, homologo os acordos firmados entre as partes, com fundamento nos Art. 932, I e 998 do CPC e
Art. 182 do Regimento Interno e, por consequência, homologo também o pedido de desistência, negando
seguimento ao presente, nos termos do Art. 182, XVI do RI c/c 998 do CPC.
Ante a omissão no que se refere às despesas processuais, aplica-se o disposto no Art. 90, §2º do CPC.
Após o trânsito em julgado desta, proceda-se à secretaria as baixas e anotações de estilo.
Publique-se e Intime-se.",13ª Câmara Cível,Priscilla Placha Sá,Londrina,False,20230110
14,0003032-94.2020.8.16.0194,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd92563eb42270b8b85525cec54ac705a3b031eb0c8c3cf6544d248,20230110,FORMULA COMERCIO DE AUTOMÓVEIS LTDA. - PARQUE APELAÇÃO CÍVEL – AÇÃO DE INDENIZAÇÃO POR DANOS MORAIS E MATERIAIS – SENTENÇA DE IMPROCEDÊNCIA – RECURSO DA AUTORA – ASSISTÊNCIA JUDICIÁRIA GRATUITA INDEFERIDA EM DECISÃO ANTERIOR – NÃO ATENDIMENTO DA INTIMAÇÃO PARA EFETUAR O RECOLHIMENTO DAS CUSTAS RECURSAIS – FALTA DE PRESSUPOSTO EXTRÍNSECO DE ADMISSIBILIDADE – NÃO CONHECIMENTO DO RECURSO. Apelação cível não conhecida.,10ª Câmara Cível,Elizabeth Maria de Franca Rocha,Curitiba,False,20230110
15,0004899-08.2019.8.16.01141,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63832bb29dae726918d2c6ae24fa1d42c0a50b6147d9c2b063fa909f8bf88bec55,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ 5ª TURMA RECURSAL DOS JUIZADOS ESPECIAIS Autos nº. 0004899-08.2019.8.16.0114/1 1. Conforme preceitua o art. 932, I, do CPC: “Incumbe ao relator: I - dirigir e ordenar o processo no tribunal, inclusive em relação à produção de prova, bem como, quando for o caso, homologar autocomposição das partes [...]”. 2. Tendo em vista o acordo juntado aos autos em mov. 17.1, assinado pelo advogado do Banco réu e pelo advogado da parte autora, bem como que ambos têm poderes para transigir (movs. 1.2, 5.1 e 14.2 - p. 4 e 7 – autos principais; mov. 17.2 – autos recursais), HOMOLOGO, para que surtam seus legais e jurídicos efeitos o acordo celebrado entre as partes e determino a extinção do presente feito, com resolução de mérito, nos termos do art. 487, inciso III, alínea “b” do CPC. 3. Honorários advocatícios na forma acordada. 4. Custas na forma da Lei nº 18.413/2014. 5. Intimações e providências necessárias. 6. Oportunamente, determino a baixa dos autos ao Juízo de origem. Curitiba, data assinatura eletrônica. Júlia Barreto Campêlo Juíza Relatora",5ª Turma Recursal dos Juizados Especiais,Júlia Barreto Campelo,Marilândia do Sul,False,20230110
16,0002884-68.2016.8.16.00184,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63832bb29dae72691861ed9a0ff6308b2b1d8c17947faf61b9fa909f8bf88bec55,20230110,"76.484.013/0001-45) Rua Engenheiros Rebouças, 1376 - Rebouças - CURITIBA/PR - CEP: 80.215-900 EMENTA: EMBARGOS DE DECLARAÇÃO – OMISSÃO – OCORRÊNCIA – SUSPENSÃO DO FEITO ATÉ O JULGAMENTO DA AÇÃO CIVIL PÚBLICA N. 0003981-72.2016.8.16.0190 – EMBARGOS ACOLHIDOS.",3ª Turma Recursal,Marco Vinicius Schiebel,Maringá,False,20230110
